field,calcium_agro,Corg_agro,humus_agro,potassium_agro,CEC_agro,BS_agro,magnesium_agro,sodium_agro,Ptot_agro,sand_agro,silt_agro,clay_agro,hydrogen_agro,respiration_lbu,slan_lbu,vast_lbu,fertility_lbu,clay_lbu_fuehl,silt_lbu_fuehl,humus_lbu_fuehl,humus_lbu_percent,clay_lbu_percent,silt_lbu_percent,sand_lbu_percent,ph_lbu,phosphorus_CO2_lbu,potassium_CO2_lbu,magnesium_CC_lbu,phosphorus_EDTA_lbu,potassium_EDTA_lbu,magnesium_EDTA_lbu,manganese_EDTA_lbu,boron_EDTA_lbu,copper_EDTA_lbu,iron_EDTA_lbu,calcium_EDTA_lbu,zinc_EDTA_lbu,conductivity_lbu,salt_lbu,phosphorus_H2O_lbu,potassium_H2O_lbu,magnesium_H2O_lbu,calcium_H2O_lbu,nitrate_H2O_lbu,ammonium_H2O_lbu,boron_H2O_lbu,sodium_H2O_lbu,iron_H2O_lbu,P_olsen_lbu,respiration_agro,cMIC_agro,nMIC_agro,WHC_agro,nitrate_agro,ammonium_agro,Nmin_agro,Ctot_agro,Ntot_agro
F38,24.9,2.1,3.61,0.84,27.9,94.98,0.64,0.12,569.87,23.8,36.1,36.5,1.4,NA,NA,NA,NA,26,21,2,3.8,31.76,29.74,34.7,7.37,4.4,5.3,4.8,8.91,349.32,361.5,140,0.5,4.4,183,72450,3.321,272,80,1.59,49.97,5.38,260.9,68.21,17.85,0.106,19.38,4.135,,1.2574,907.09,175.93,0.776,70.1,1.9,72,5.53,0.28
F39,27.7,2.08,3.59,0.49,32.34,90.11,0.73,0.22,727.93,17.4,39.3,39.7,3.2,128,175,80,37.1,26,21,2,3.69,37.68,32.18,26.45,7.26,3.6,1.7,5.3,33.52,192.12,129.9,191,1.1,3.7,245,10190,4.295,212,62.35,1.19,20.55,5.1,225,44.32,9.52,0.256,33.38,6.677,40.3,1.0847,642.95,131.20,0.772,38.4,0.1,38.5,2.68,0.27
F40,30.8,2.36,4.06,0.69,33.97,95,0.67,0.11,707.21,13.5,42.4,40,1.7,119,195,80,37.4,26,21,2,4.64,40.68,35.46,19.22,7.66,3.7,2.6,4.8,9.15,266.52,425.4,77,0.8,4.6,173,83250,4.633,218,64.12,0.99,27.75,5.47,254,46.88,8.76,0.209,16.33,2.483,34.9,1.2436,626.50,140.60,0.839,42.8,0.2,43.1,6.78,0.34
F41,11.2,1.77,3.05,0.6,20.17,63.81,1.04,0.03,598.61,15.3,56.7,25,7.3,154,157.5,46.7,31.3,21,21,2.5,3.15,19.8,48.28,28.77,6.37,4.9,2.5,11.1,14.38,148.36,164.2,210,0.2,6.8,263,2916,2.427,185,54.41,2.61,33.65,11.48,122.5,62.05,11.37,0.203,5.78,6.79,37.88,0.6471,532.61,100.06,0.650,54.5,2.8,57.3,2.14,0.23
F42,11.9,1.53,2.64,0.53,16.6,78.92,0.54,0.13,677.24,31.1,46.9,19.4,3.5,127,120,56.9,29.1,16,31,3,2.67,17.02,43.74,36.57,7.09,13.9,3,5.9,53.48,121.76,80.7,326,0.7,6.5,243,2931,5.333,166,48.82,4.07,32.33,7.33,118.2,49.47,6.82,0.277,20.38,7.062,33.46,0.4218,361.39,88.82,0.568,48.3,0.6,48.9,1.78,0.2
F43,14,1.59,2.74,0.73,18.42,83.71,0.66,0.03,839.3,42.6,31.2,23.5,3,119,110,8.9,17.9,16,31,3.5,2.5,19.98,29.94,47.58,6.95,26.5,4.8,6.2,138.42,219.6,99.4,327,1.2,6.6,427,4374,5.444,218,64.12,8.2,51.45,9.81,180.5,45.54,10.93,0.345,5.847,7.18,62.48,0.5842,386.13,84.96,0.546,46.6,0.2,46.8,1.9,0.2
F44,33.3,3.36,5.8,2.07,40.42,91.59,1.46,0.19,2312.48,15.4,34.5,44.3,3.4,132,205,80,39.1,26,31,3.5,5.48,36.64,28.62,29.26,7.33,24.2,12.7,9.6,144.48,1056.96,399.3,146,2.1,11.1,432,48350,19,338,99.41,7.9,126.82,10.66,266.9,102.2,8.46,0.531,32.27,1.831,134.84,1.3935,696.25,80.51,0.839,90.6,0.2,90.8,5.59,0.41
F45,37.3,2.46,4.24,1.51,43.78,92.46,1.39,0.28,1194.68,14.3,33.3,48.2,3.3,111,202.5,80,37.2,26,21,2.5,4.75,39.54,25.18,30.53,7.42,10.4,6.9,8.2,37.89,558.65,312.2,58,1.8,8.9,203,64390,6.14,359,105.59,3.34,74.4,9.7,311.8,113.9,9.65,0.451,41.71,1.999,71.4,1.4535,975.79,141.04,0.859,102.4,0.3,102.7,6.03,0.42
F46,28.9,2.8,4.82,0.97,35.34,86.98,0.73,0.14,756.25,8.1,56.1,31,4.6,132,180,85.4,38.8,21,31,2.5,4.54,22.6,60.98,11.88,7.21,2.2,3.3,5.3,11.05,359.62,171.5,1280,1.2,5.2,381,14400,3.863,306,90,0.89,34.7,5.79,269.8,91.09,9.39,0.215,19.54,6.333,30.04,1.3930,913.48,154.82,0.800,78,4.9,82.9,3.62,0.35
F47,19.1,2.02,3.48,0.23,23.75,86.53,1.18,0.04,898.55,36.6,33,26.9,3.2,166,155,68,36.6,16,31,3,3.57,19.56,29.18,47.69,7.25,5.7,1.3,10.1,44.57,79.61,173.7,536,2,10.1,431,5001,3.987,133,39.12,1.96,14.18,9.06,124.4,32.2,14.69,0.498,6.861,8.097,29.2,0.8014,685.83,111.99,0.715,26.8,0.3,27.1,2.46,0.28
