field,replicate,forward,reverse,Jan_name
F53,3,F47,R32,F47_m9-R32_m9.fastq
F55,3,F47,R33,F47_m9-R33_m9.fastq
F50,4,F47,R34,F47_m9-R34_m9.fastq
F54,4,F47,R35,F47_m9-R35_m9.fastq
F50,3,F47,R36,F47_m9-R36_m9.fastq
F54,2,F47,R37,F47_m9-R37_m9.fastq
F52,4,F47,R38,F47_m9-R38_m9.fastq
F54,1,F47,R39,F47_m9-R39_m9.fastq
F49,1,F48,R32,F48_m9-R32_m9.fastq
F56,1,F48,R33,F48_m9-R33_m9.fastq
F49,3,F48,R34,F48_m9-R34_m9.fastq
F53,2,F48,R35,F48_m9-R35_m9.fastq
F51,3,F48,R36,F48_m9-R36_m9.fastq
F51,1,F48,R37,F48_m9-R37_m9.fastq
F58,4,F48,R38,F48_m9-R38_m9.fastq
F48,3,F48,R39,F48_m9-R39_m9.fastq
F55,4,F49,R32,F49_m9-R32_m9.fastq
F52,1,F49,R33,F49_m9-R33_m9.fastq
F52,2,F49,R34,F49_m9-R34_m9.fastq
F58,1,F49,R35,F49_m9-R35_m9.fastq
F59,1,F49,R36,F49_m9-R36_m9.fastq
F59,4,F49,R37,F49_m9-R37_m9.fastq
F56,3,F49,R38,F49_m9-R38_m9.fastq
F50,2,F49,R39,F49_m9-R39_m9.fastq
F51,2,F50,R32,F50_m9-R32_m9.fastq
F59,2,F50,R33,F50_m9-R33_m9.fastq
F50,1,F50,R34,F50_m9-R34_m9.fastq
F48,4,F50,R35,F50_m9-R35_m9.fastq
F58,3,F50,R36,F50_m9-R36_m9.fastq
F51,4,F50,R37,F50_m9-R37_m9.fastq
F53,1,F50,R38,F50_m9-R38_m9.fastq
F48,2,F50,R39,F50_m9-R39_m9.fastq
F58,2,F51,R32,F51_m9-R32_m9.fastq
F56,2,F51,R33,F51_m9-R33_m9.fastq
F48,1,F51,R34,F51_m9-R34_m9.fastq
F55,2,F51,R35,F51_m9-R35_m9.fastq
F55,1,F51,R36,F51_m9-R36_m9.fastq
F49,4,F51,R37,F51_m9-R37_m9.fastq
F54,3,F51,R38,F51_m9-R38_m9.fastq
F53,4,F51,R39,F51_m9-R39_m9.fastq
F52,3,F52,R32,F52_m9-R32_m9.fastq
F59,3,F52,R33,F52_m9-R33_m9.fastq
F56,4,F52,R34,F52_m9-R34_m9.fastq
F49,2,F52,R35,F52_m9-R35_m9.fastq
F57,1,F52,R36,F52_m9-R36_m9.fastq
F57,2,F52,R37,F52_m9-R37_m9.fastq
F57,3,F52,R38,F52_m9-R38_m9.fastq
F57,4,F52,R39,F52_m9-R39_m9.fastq
leer,,F55,R17,F55_m9-R17_m9.fastq
H2O,,F56,R17,F56_m9-R17_m9.fastq
P+7H,,F57,R17,F57_m9-R17_m9.fastq
