Sample_ID,Sample_number,Barcode,foward,reverse,field,replicate,JC_name,Jan_name
F41.1,46,F56_R35,F56,R35,F41,1,F56-m8-R35-m8,F56_m8-R35_m8.fastq
F23.3,58,F56_R36,F56,R36,F23,3,F56-m8-R36-m8,F56_m8-R36_m8.fastq
F47.1,70,F56_R37,F56,R37,F47,1,F56-m8-R37-m8,F56_m8-R37_m8.fastq
F46.3,82,F56_R38,F56,R38,F46,3,F56-m8-R38-m8,F56_m8-R38_m8.fastq
F44.2,94,F56_R39,F56,R39,F44,2,F56-m8-R39-m8,F56_m8-R39_m8.fastq
F24.1,11,F57_R32,F57,R32,F24,1,F57-m8-R32-m8,F57_m8-R32_m8.fastq
F23.4,23,F57_R33,F57,R33,F23,4,F57-m8-R33-m8,F57_m8-R33_m8.fastq
F37.3,35,F57_R34,F57,R34,F37,3,F57-m8-R34-m8,F57_m8-R34_m8.fastq
F31.1,47,F57_R35,F57,R35,F31,1,F57-m8-R35-m8,F57_m8-R35_m8.fastq
F39.3,59,F57_R36,F57,R36,F39,3,F57-m8-R36-m8,F57_m8-R36_m8.fastq
F32.3,71,F57_R37,F57,R37,F32,3,F57-m8-R37-m8,F57_m8-R37_m8.fastq
F37.1,83,F57_R38,F57,R38,F37,1,F57-m8-R38-m8,F57_m8-R38_m8.fastq
F35.3,95,F57_R39,F57,R39,F35,3,F57-m8-R39-m8,F57_m8-R39_m8.fastq
F41.4,12,F58_R32,F58,R32,F41,4,F58-m8-R32-m8,F58_m8-R32_m8.fastq
F47.3,24,F58_R33,F58,R33,F47,3,F58-m8-R33-m8,F58_m8-R33_m8.fastq
F40.1,36,F58_R34,F58,R34,F40,1,F58-m8-R34-m8,F58_m8-R34_m8.fastq
F34.4,48,F58_R35,F58,R35,F34,4,F58-m8-R35-m8,F58_m8-R35_m8.fastq
F30.4,60,F58_R36,F58,R36,F30,4,F58-m8-R36-m8,F58_m8-R36_m8.fastq
F35.4,72,F58_R37,F58,R37,F35,4,F58-m8-R37-m8,F58_m8-R37_m8.fastq
F33.1,84,F58_R38,F58,R38,F33,1,F58-m8-R38-m8,F58_m8-R38_m8.fastq
F35.1,96,F58_R39,F58,R39,F35,1,F58-m8-R39-m8,F58_m8-R39_m8.fastq
F44.4,97,F47_R24,F47,R24,F44,4,F47-m8-R24-m8,F47_m8-R24_m8.fastq
F45.4,98,F48_R24,F48,R24,F45,4,F48-m8-R24-m8,F48_m8-R24_m8.fastq
F46.4,99,F49_R24,F49,R24,F46,4,F49-m8-R24-m8,F49_m8-R24_m8.fastq
F47.4,100,F50_R24,F50,R24,F47,4,F50-m8-R24-m8,F50_m8-R24_m8.fastq
P+7h,101,F55_R17,F55,R17,positive,1,F55-m8-R17-m8,F55_m8-R17_m8.fastq
H2O,102,F56_R17,F56,R17,negative,1,F56-m8-R17-m8,F56_m8-R17_m8.fastq
P+7h,103,F51_R24,F51,R24,positive,2,F51-m8-R24-m8,F51_m8-R24_m8.fastq
H2O,104,F52_R24,F52,R24,negative,2,F52-m8-R24-m8,F52_m8-R24_m8.fastq
