"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"classifier"
"ASV1"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_minutissima"	"RDP"
"ASV2"	"Fungi"	"Ascomycota"	"Orbiliomycetes"	"Orbiliales"	"Orbiliaceae"	"Arthrobotrys"	NA	"RDP"
"ASV3"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	NA	NA	"IDTAXA"
"ASV4"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Gibellulopsis"	"Gibellulopsis_piscis"	"IDTAXA"
"ASV5"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_exigua"	"RDP"
"ASV6"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_rishikesha"	"RDP"
"ASV7"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusicolla"	"Fusicolla_septimanifiniscientiae"	"RDP"
"ASV8"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	NA	"IDTAXA"
"ASV9"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Filobasidiales"	"Piskurozymaceae"	"Solicoccozyma"	"Solicoccozyma_aeria"	"IDTAXA"
"ASV10"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_rishikesha"	"RDP"
"ASV11"	"Fungi"	"Zoopagomycota"	"Zoopagomycetes"	"Zoopagales"	"Piptocephalidaceae"	"Syncephalis"	"Syncephalis_sp"	"IDTAXA"
"ASV12"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA	"RDP"
"ASV13"	"Fungi"	"Ascomycota"	"Pezizomycetes"	"Pezizales"	"Pyronemataceae"	"Pseudaleuria"	"Pseudaleuria_sp"	"IDTAXA"
"ASV14"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	NA	NA	"IDTAXA"
"ASV15"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	NA	"IDTAXA"
"ASV16"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_rishikesha"	"RDP"
"ASV17"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	NA	"IDTAXA"
