"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"classifier"
"OTU1"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_minutissima"	"RDP"
"OTU2"	"Fungi"	"Ascomycota"	"Orbiliomycetes"	"Orbiliales"	"Orbiliaceae"	"Arthrobotrys"	NA	"RDP"
"OTU3"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	NA	NA	"IDTAXA"
"OTU4"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Gibellulopsis"	"Gibellulopsis_piscis"	"IDTAXA"
"OTU5"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	NA	"IDTAXA"
"OTU6"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_exigua"	"RDP"
"OTU7"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_rishikesha"	"RDP"
"OTU8"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_rishikesha"	"RDP"
"OTU9"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusicolla"	"Fusicolla_septimanifiniscientiae"	"RDP"
"OTU10"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Filobasidiales"	"Piskurozymaceae"	"Solicoccozyma"	"Solicoccozyma_aeria"	"IDTAXA"
"OTU11"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA	"RDP"
"OTU12"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Gibberella"	"Gibberella_intricans"	"RDP"
"OTU13"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	NA	"IDTAXA"
"OTU14"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_rishikesha"	"RDP"
"OTU15"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_zonata"	"RDP"
"OTU16"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Sordariales_fam_Incertae_sedis"	"Ramophialophora"	"Ramophialophora_sp"	"IDTAXA"
"OTU17"	"Fungi"	"Zoopagomycota"	"Zoopagomycetes"	"Zoopagales"	"Piptocephalidaceae"	"Syncephalis"	"Syncephalis_sp"	"IDTAXA"
"OTU18"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	NA	NA	NA	"IDTAXA"
"OTU19"	"Fungi"	"Ascomycota"	"Pezizomycetes"	"Pezizales"	"Pyronemataceae"	"Pseudaleuria"	"Pseudaleuria_sp"	"IDTAXA"
"OTU20"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"Fusarium_solani"	"RDP"
"OTU21"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Cystofilobasidiales"	"Mrakiaceae"	"Tausonia"	"Tausonia_pullulans"	"IDTAXA"
"OTU22"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Thelebolales"	"Pseudeurotiaceae"	"Pseudeurotium"	"Pseudeurotium_bakeri"	"IDTAXA"
"OTU23"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	NA	NA	"IDTAXA"
"OTU24"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Psathyrellaceae"	"Coprinellus"	"Coprinellus_verrucispermus"	"IDTAXA"
"OTU25"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA	"RDP"
"OTU26"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_gamsii"	"RDP"
"OTU27"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Mycosphaerellaceae"	"Mycosphaerella"	"Mycosphaerella_tassiana"	"RDP"
"OTU28"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Cortinariaceae"	"Cortinarius"	NA	"RDP"
"OTU29"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_sp"	"IDTAXA"
"OTU30"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerella"	"Plectosphaerella_niemeijerarum"	"IDTAXA"
"OTU31"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Phaeosphaeria"	"Phaeosphaeria_sp"	"IDTAXA"
"OTU32"	"Fungi"	"Rozellomycota"	"Rozellomycotina_cls_Incertae_sedis"	"GS10"	NA	NA	NA	"RDP"
"OTU33"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Mycosphaerellaceae"	"Mycosphaerella"	"Mycosphaerella_tassiana"	"RDP"
"OTU34"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Didymellaceae"	"Calophoma"	"Calophoma_rosae"	"RDP"
"OTU35"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA	"IDTAXA"
"OTU36"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Cystofilobasidiales"	"Cystofilobasidiaceae"	"Cystofilobasidium"	"Cystofilobasidium_macerans"	"IDTAXA"
"OTU37"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Cystofilobasidiales"	"Mrakiaceae"	"Mrakia"	"Mrakia_frigida"	"RDP"
"OTU38"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Gibberella"	"Gibberella_zeae"	"RDP"
"OTU39"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Helotiaceae"	"Tetracladium"	"Tetracladium_sp"	"IDTAXA"
"OTU40"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Trichosporonales"	"Trichosporonaceae"	"Apiotrichum"	"Apiotrichum_scarabaeorum"	"RDP"
"OTU41"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Bionectriaceae"	"Clonostachys"	"Clonostachys_rosea"	"IDTAXA"
"OTU42"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Saccharomycetales_fam_Incertae_sedis"	"Candida"	"Candida_saopaulonensis"	"RDP"
"OTU43"	"Fungi"	NA	NA	NA	NA	NA	NA	"IDTAXA"
"OTU44"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Sporormiaceae"	"Preussia"	"Preussia_flanaganii"	"RDP"
"OTU45"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_alpina"	"IDTAXA"
"OTU46"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_alpina"	"IDTAXA"
"OTU47"	"Fungi"	"Entorrhizomycota"	NA	NA	NA	NA	NA	"RDP"
"OTU48"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA	"IDTAXA"
"OTU49"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA	"IDTAXA"
"OTU50"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	NA	"IDTAXA"
"OTU51"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Sporormiaceae"	"Preussia"	"Preussia_sp"	"IDTAXA"
"OTU52"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	NA	NA	"RDP"
"OTU53"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Exophiala"	"Exophiala_equina"	"RDP"
"OTU54"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Didymellaceae"	"Boeremia"	NA	"IDTAXA"
"OTU55"	NA	NA	NA	NA	NA	NA	NA	"RDP"
"OTU56"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Stachybotryaceae"	"Stachybotrys"	"Stachybotrys_chartarum"	"RDP"
"OTU57"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Sporormiaceae"	"Preussia"	"Preussia_flanaganii"	"RDP"
"OTU58"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Filobasidiales"	"Piskurozymaceae"	"Solicoccozyma"	"Solicoccozyma_terricola"	"IDTAXA"
"OTU59"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	NA	NA	NA	"RDP"
"OTU60"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_eichhorniae"	"RDP"
"OTU61"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Didymellaceae"	"Epicoccum"	"Epicoccum_nigrum"	"IDTAXA"
"OTU62"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Holtermanniales"	"Holtermanniales_fam_Incertae_sedis"	"Holtermanniella"	"Holtermanniella_takashimae"	"RDP"
"OTU63"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Helotiaceae"	"Phaeohelotium"	NA	"RDP"
"OTU64"	"Fungi"	"Basidiomycota"	"Ustilaginomycetes"	"Ustilaginales"	"Ustilaginaceae"	"Ustilago"	"Ustilago_maydis"	"RDP"
"OTU65"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Psathyrellaceae"	"Psathyrella"	"Psathyrella_sacchariolens"	"RDP"
"OTU66"	"Fungi"	"Rozellomycota"	"Rozellomycotina_cls_Incertae_sedis"	"GS10"	NA	NA	NA	"RDP"
"OTU67"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Piedraiaceae"	"Piedraia"	"Piedraia_quintanilhae"	"RDP"
"OTU68"	"Fungi"	"Chytridiomycota"	"Rhizophlyctidomycetes"	"Rhizophlyctidales"	"Rhizophlyctidaceae"	"Rhizophlyctis"	"Rhizophlyctis_rosea"	"RDP"
"OTU69"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Filobasidiales"	"Piskurozymaceae"	"Solicoccozyma"	NA	"IDTAXA"
"OTU70"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Thyridariaceae"	"Roussoella"	"Roussoella_neopustulans"	"RDP"
"OTU71"	"Fungi"	"Chytridiomycota"	"Rhizophlyctidomycetes"	"Rhizophlyctidales"	"Rhizophlyctidaceae"	"Rhizophlyctis"	"Rhizophlyctis_rosea"	"RDP"
"OTU72"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerella"	NA	"RDP"
"OTU73"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_alpina"	"IDTAXA"
"OTU74"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	NA	NA	NA	"IDTAXA"
"OTU75"	"Fungi"	"Rozellomycota"	NA	NA	NA	NA	NA	"RDP"
"OTU76"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Didymellaceae"	"Didymella"	NA	"IDTAXA"
"OTU77"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	NA	NA	NA	"IDTAXA"
"OTU78"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_rishikesha"	"RDP"
"OTU79"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Filobasidiales"	"Filobasidiaceae"	"Filobasidium"	"Filobasidium_chernovii"	"IDTAXA"
"OTU80"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Trichosporonales"	"Trichosporonaceae"	"Apiotrichum"	"Apiotrichum_gracile"	"RDP"
"OTU81"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Bulleribasidiaceae"	"Vishniacozyma"	"Vishniacozyma_victoriae"	"RDP"
"OTU82"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Amanitaceae"	"Amanita"	NA	"RDP"
"OTU83"	"Fungi"	"Olpidiomycota"	"Olpidiomycetes"	"Olpidiales"	"Olpidiaceae"	"Olpidium"	"Olpidium_brassicae"	"RDP"
"OTU84"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	NA	NA	NA	"IDTAXA"
"OTU85"	"Fungi"	"Chytridiomycota"	"Rhizophlyctidomycetes"	"Rhizophlyctidales"	"Rhizophlyctidaceae"	"Rhizophlyctis"	"Rhizophlyctis_rosea"	"RDP"
"OTU86"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Cercophora"	"Cercophora_sp"	"IDTAXA"
"OTU87"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Debaryomycetaceae"	"Scheffersomyces"	"Scheffersomyces_segobiensis"	"RDP"
"OTU88"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Sporocadaceae"	"Discosia"	"Discosia_pseudoartocreas"	"IDTAXA"
"OTU89"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"Fusarium_domesticum"	"RDP"
"OTU90"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"Fusarium_venenatum"	"RDP"
"OTU91"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Lectera"	"Lectera_capsici"	"IDTAXA"
"OTU92"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Gibberella"	"Gibberella_tricincta"	"RDP"
"OTU93"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Humicola"	"Humicola_nigrescens"	"RDP"
